event_id,timestamp,user_id,ip_address,country,device_type,login_status,failure_reason,risk_score
0cfef309-6737-429d-a411-01165ec3f9ef,2026-03-30 17:41:31.409911,user_26,192.168.7.75,US,desktop,success,,72
b426e729-44c1-42ce-ad9f-175d52e5a030,2026-03-29 17:23:31.409911,user_14,192.168.176.71,DE,mobile,failed,account_locked,2
5a982c95-c4ff-4edd-9238-8e55927f9c06,2026-03-31 04:14:31.409911,user_36,192.168.99.244,US,desktop,success,,67
71ac235f-964a-42c8-9311-43edc8d1ce39,2026-03-31 06:06:31.409911,user_25,192.168.242.166,DE,mobile,failed,user_not_found,41
656db398-fc92-40e4-8d4e-053dd023b5ec,2026-03-29 08:40:31.409911,user_17,192.168.215.151,FR,tablet,success,,62
755cff53-97c3-4284-b173-69a62ae0a8c1,2026-03-30 11:23:31.409911,user_3,192.168.12.208,DE,tablet,failed,,24
a3f2fa82-9e88-49fd-8957-203e0096a5e0,2026-03-30 12:34:31.409911,user_41,192.168.148.79,UK,desktop,failed,account_locked,36
e7fa430e-6e03-4722-b990-5071f852016a,2026-03-30 20:35:31.409911,user_3,192.168.124.15,US,mobile,failed,,98
9ff1c71f-a8b0-4f60-87ba-8573f43d2ee5,2026-03-29 06:20:31.409911,user_12,192.168.98.207,GR,tablet,success,,61
5c8166ef-a44f-4a5b-89a1-bf92ea4c012b,2026-03-31 04:13:31.409911,user_42,192.168.12.16,US,tablet,failed,,53
ace19afb-2ac1-4c4c-b304-aaa3e3d8e3ea,2026-03-29 22:58:31.409911,user_37,192.168.143.99,DE,tablet,success,,34
13ee905c-b527-4763-9be2-36d624458d0d,2026-03-31 06:21:31.409911,user_9,192.168.139.123,UK,mobile,failed,user_not_found,80
9774db06-9127-4906-968a-f5bf0e3ede6f,2026-03-31 16:28:31.409911,user_29,192.168.44.236,UK,mobile,success,,13
f1e917db-b47f-4e67-9218-599f2099b121,2026-03-31 04:13:31.409911,user_40,192.168.7.127,UK,tablet,success,,86
23d953ab-7a02-4e08-961d-edd6d1fce424,2026-03-31 10:10:31.409911,user_29,192.168.224.229,DE,desktop,success,,75
047cf680-2ef8-4154-82c4-da84be18b093,2026-03-28 18:27:31.409911,user_31,192.168.247.151,DE,desktop,failed,,28
a3c1c8d2-8837-41ca-ac88-3e2a11338fed,2026-03-28 19:55:31.409911,user_2,192.168.229.183,GR,tablet,success,,63
1204cbe7-85e2-4e1c-bfcd-2899a2f725a3,2026-03-28 10:17:31.409911,user_25,192.168.209.196,US,desktop,success,,7
ffb6c090-cf09-4f61-ab87-ef819368c3c2,2026-03-29 02:12:31.409911,user_43,192.168.51.193,FR,desktop,failed,,50
5eb8c63b-8920-499e-b9d9-d724847dc148,2026-03-29 15:26:31.409911,user_37,192.168.189.35,GR,mobile,success,,95
ab3603c3-a65f-4eb5-bac9-21e301f4af6b,2026-03-31 18:04:31.409911,user_17,192.168.67.167,FR,desktop,failed,wrong_password,31
26514f8a-481f-462e-821d-bed16cfe68f4,2026-03-29 16:44:31.409911,user_37,192.168.211.230,US,desktop,success,,51
018a7c78-518e-4978-87ea-1da720e4cbea,2026-03-31 13:39:31.409911,user_27,192.168.75.95,UK,mobile,success,,10
54555961-2bc6-4cbf-a272-203be7bd8e5c,2026-03-29 09:23:31.409911,user_24,192.168.207.31,DE,tablet,success,,48
3247f7af-db62-40d5-beb6-0bcdf7e21cf6,2026-03-29 11:53:31.409911,user_15,192.168.254.48,FR,desktop,failed,user_not_found,95
770c365f-c2f2-4e6b-aca5-9a27a4491ce1,2026-03-29 14:22:31.409911,user_33,192.168.226.241,FR,tablet,failed,account_locked,16
7712f5fd-a5b2-4dd6-bf03-7a7fec5c8a84,2026-03-31 00:24:31.409911,user_26,192.168.160.134,DE,tablet,success,,14
5f33864f-a269-47dd-85e0-af510b3ba101,2026-03-31 13:47:31.409911,user_46,192.168.252.221,DE,desktop,failed,wrong_password,18
79809064-4b09-4762-abd9-e767410b621f,2026-03-30 20:07:31.409911,user_13,192.168.69.103,FR,tablet,success,,52
9dba0121-74ef-4d5a-abee-a36f8d6b49b7,2026-03-31 16:06:31.409911,user_15,192.168.120.222,DE,mobile,failed,,60
6fcef706-3491-4732-adda-877525c49972,2026-03-30 12:58:31.409911,user_15,192.168.139.2,UK,mobile,failed,account_locked,61
5b956306-8cd6-40d2-b171-34ccaaab8552,2026-03-31 17:59:31.409911,user_11,192.168.149.63,UK,tablet,failed,user_not_found,49
f74d27e2-2c89-4cbb-9354-0053a32298d0,2026-03-28 10:03:31.409911,user_17,192.168.82.158,GR,mobile,failed,user_not_found,8
e89721ae-ae79-4ccf-a676-e4ddc1183164,2026-03-29 18:04:31.409911,user_28,192.168.233.209,UK,mobile,failed,user_not_found,33
792795eb-be5d-4399-a89a-d2233489e311,2026-03-29 07:22:31.409911,user_24,192.168.12.88,US,tablet,failed,account_locked,42
68767455-eaaf-410c-8473-06a891021a43,2026-03-29 05:13:31.409911,user_9,192.168.3.247,UK,mobile,success,,3
1f1a70a2-0c3d-4458-a13b-b9f773568fa0,2026-03-31 11:15:31.409911,user_26,192.168.23.97,DE,desktop,failed,wrong_password,13
e3ec9fbe-7ddc-4b7e-9d05-37ac9dfcbb04,2026-03-29 11:44:31.409911,user_34,192.168.167.226,FR,mobile,failed,user_not_found,33
ebdcb33a-4ba6-4718-9bb6-fddafc099d20,2026-03-30 06:24:31.409911,user_28,192.168.21.72,UK,tablet,success,,84
f9112209-02d6-45d9-9cd2-46de82710243,2026-03-29 03:36:31.409911,user_21,192.168.76.144,GR,desktop,failed,wrong_password,41
d54b04f7-ae5f-4939-97e4-feae6ed398e3,2026-03-30 13:37:31.409911,user_49,192.168.231.15,DE,tablet,failed,user_not_found,39
03e6b6f6-b8ed-4d86-8b72-cd7177b8b1ea,2026-03-30 04:48:31.409911,user_19,192.168.150.22,UK,mobile,success,,73
f25e82bf-2a82-4e48-bfdb-a4e90cc736ae,2026-03-31 01:41:31.409911,user_9,192.168.95.7,UK,mobile,failed,account_locked,56
ecbe3054-160a-4829-96e9-49695306a162,2026-03-28 13:59:31.409911,user_39,192.168.69.218,US,tablet,failed,user_not_found,0
4324c691-361d-43c1-840a-897c547f35e1,2026-03-30 10:05:31.409911,user_35,192.168.239.44,FR,tablet,failed,,90
399b775c-1854-4ad3-a602-d6ea825ebbf6,2026-03-30 18:11:31.409911,user_25,192.168.216.199,DE,tablet,failed,,47
80d7d65c-25d6-4dea-bfac-c19ceaea7d21,2026-03-30 09:36:31.409911,user_24,192.168.161.136,DE,mobile,failed,wrong_password,51
188f83d7-f69a-4aed-9123-970949dd5cf7,2026-03-31 14:11:31.409911,user_9,192.168.89.209,US,tablet,success,,92
0f5d4c58-d49b-46f8-942e-365ec18c9b01,2026-03-29 16:28:31.409911,user_8,192.168.12.59,FR,tablet,success,,3
5a8dd10c-217e-473f-9b92-6bb53b4a3cc0,2026-03-29 22:04:31.409911,user_20,192.168.225.106,GR,mobile,failed,user_not_found,16
7b0d9d90-969f-4ea8-ac13-41c983fbe317,2026-03-29 21:38:31.409911,user_17,192.168.81.42,UK,tablet,failed,account_locked,79
b4fe9522-3385-4320-a626-d5d8c4e50e07,2026-03-28 12:21:31.409911,user_18,192.168.209.1,DE,tablet,failed,user_not_found,39
715855ad-dd11-4553-95f8-4bbc8028f207,2026-03-29 13:28:31.409911,user_42,192.168.157.185,US,mobile,success,,2
9a5ce18c-19b5-4e0b-a319-2a5bcb301372,2026-03-29 05:08:31.409911,user_41,192.168.44.136,US,tablet,failed,user_not_found,39
a3131b48-75c0-4190-9e2e-edf9a7f901b7,2026-03-30 07:25:31.409911,user_50,192.168.250.217,GR,mobile,failed,,47
eef9af83-46a3-4ede-9ba6-a27c28ebcf9c,2026-03-31 02:53:31.409911,user_4,192.168.241.95,DE,tablet,failed,,72
f2bbd779-78ec-4513-bd8c-61cb4802a866,2026-03-29 22:35:31.409911,user_2,192.168.44.66,GR,mobile,failed,user_not_found,67
654ba76d-2684-4130-88ad-ecaefe0b2365,2026-03-28 08:09:31.409911,user_9,192.168.119.88,DE,mobile,failed,user_not_found,80
da87339c-d697-4697-9b35-284545c7553d,2026-03-29 21:08:31.409911,user_40,192.168.230.239,DE,desktop,success,,35
e352a612-73ff-4a77-a988-71fbe319d112,2026-03-31 11:17:31.409911,user_44,192.168.215.21,UK,mobile,failed,user_not_found,14
5eacbb44-2446-4633-b0b8-2d133a4fb9e7,2026-03-28 18:55:31.409911,user_35,192.168.71.97,GR,desktop,success,,95
e13a5963-e1e1-4698-b07d-ca625c1a235b,2026-03-28 15:51:31.409911,user_32,192.168.85.207,US,mobile,failed,user_not_found,83
6ea38065-f5d5-4169-8548-f31128aec17d,2026-03-31 02:24:31.409911,user_42,192.168.41.208,FR,tablet,success,,11
b09859ed-1244-4c67-8955-8791d828ffe7,2026-03-29 17:51:31.409911,user_49,192.168.86.56,US,desktop,failed,account_locked,75
184c67f4-e4a9-4a5a-976a-d45a63e11dfc,2026-03-31 13:40:31.409911,user_5,192.168.44.20,FR,mobile,success,,70
